pair,contact_times
device14<->device9,11
device18<->device21,10
device18<->device2,9
device17<->device12,9
device2<->device19,9
device17<->device21,9
device15<->device5,9
device21<->device19,9
device15<->device11,9
device22<->device16,8
device2<->device3,8
device1<->device11,8
device10<->device11,8
device15<->device24,8
device18<->device10,8
device0<->device9,8
device10<->device16,8
device8<->device3,8
device14<->device8,8
device3<->device22,8
device19<->device1,8
device1<->device4,8
device18<->device17,8
device1<->device14,8
device14<->device13,7
device1<->device10,7
device2<->device12,7
device14<->device10,7
device19<->device0,7
device10<->device12,7
device1<->device7,7
device22<->device6,7
device12<->device6,7
device12<->device13,7
device3<->device1,7
device0<->device16,7
device9<->device18,7
device19<->device2,7
device2<->device15,7
device20<->device7,7
device6<->device8,7
device16<->device22,7
device19<->device17,7
device24<->device14,7
device12<->device10,7
device13<->device9,7
device10<->device23,7
device10<->device17,7
device14<->device12,7
device8<->device1,7
device4<->device19,7
device23<->device7,7
device8<->device18,7
device14<->device2,7
device13<->device21,7
device16<->device12,7
device16<->device24,7
device4<->device14,7
device8<->device7,7
device21<->device6,7
device20<->device11,7
device23<->device6,6
device8<->device15,6
device21<->device16,6
device6<->device18,6
device20<->device4,6
device6<->device3,6
device7<->device0,6
device9<->device12,6
device9<->device13,6
device7<->device14,6
device7<->device4,6
device18<->device16,6
device1<->device6,6
device4<->device6,6
device15<->device6,6
device9<->device1,6
device10<->device4,6
device17<->device16,6
device8<->device20,6
device13<->device23,6
device12<->device17,6
device7<->device9,6
device2<->device17,6
device9<->device23,6
device10<->device7,6
device11<->device18,6
device2<->device20,6
device12<->device11,6
device13<->device6,6
device11<->device1,6
device21<->device24,6
device4<->device23,6
device20<->device22,6
device9<->device4,6
device1<->device19,6
device24<->device10,6
device0<->device10,6
device23<->device12,6
device24<->device21,6
device24<->device12,6
device13<->device16,6
device1<->device21,6
device16<->device3,6
device5<->device11,6
device21<->device3,5
device22<->device23,5
device1<->device18,5
device0<->device23,5
device15<->device13,5
device15<->device4,5
device20<->device16,5
device11<->device17,5
device0<->device13,5
device16<->device7,5
device1<->device3,5
device8<->device10,5
device19<->device6,5
device6<->device4,5
device9<->device3,5
device24<->device20,5
device10<->device14,5
device14<->device19,5
device12<->device7,5
device24<->device7,5
device17<->device7,5
device5<->device20,5
device20<->device9,5
device10<->device9,5
device14<->device21,5
device21<->device20,5
device4<->device16,5
device16<->device20,5
device15<->device23,5
device4<->device15,5
device0<->device24,5
device20<->device0,5
device7<->device15,5
device15<->device19,5
device12<->device20,5
device20<->device13,5
device9<->device15,5
device8<->device11,5
device3<->device18,5
device19<->device14,5
device2<->device13,5
device12<->device15,5
device15<->device2,5
device13<->device7,5
device22<->device14,5
device3<->device0,5
device14<->device18,5
device14<->device7,5
device1<->device12,5
device18<->device12,5
device24<->device8,5
device1<->device23,5
device13<->device22,5
device0<->device5,5
device10<->device18,5
device11<->device8,5
device11<->device24,5
device13<->device4,5
device0<->device4,5
device24<->device6,5
device17<->device24,5
device22<->device10,5
device8<->device22,5
device4<->device17,5
device22<->device4,5
device5<->device17,5
device4<->device9,5
device17<->device5,5
device6<->device21,5
device19<->device7,5
device22<->device3,5
device8<->device2,5
device1<->device2,5
device19<->device8,5
device4<->device1,4
device16<->device15,4
device13<->device1,4
device23<->device0,4
device17<->device13,4
device8<->device0,4
device13<->device14,4
device8<->device13,4
device12<->device23,4
