pair,contact_times
device35<->device48,9
device60<->device35,8
device6<->device31,8
device38<->device36,8
device96<->device84,8
device15<->device6,7
device14<->device0,7
device80<->device86,7
device43<->device37,7
device62<->device44,7
device55<->device37,7
device84<->device83,7
device44<->device38,7
device95<->device88,7
device53<->device34,7
device64<->device36,7
device26<->device9,7
device95<->device70,7
device38<->device34,7
device41<->device44,7
device6<->device18,7
device54<->device60,7
device65<->device59,6
device51<->device42,6
device6<->device15,6
device63<->device59,6
device24<->device0,6
device81<->device87,6
device87<->device74,6
device41<->device39,6
device35<->device59,6
device2<->device10,6
device70<->device66,6
device57<->device48,6
device53<->device57,6
device81<->device68,6
device11<->device6,6
device78<->device66,6
device57<->device55,6
device47<->device51,6
device17<->device8,6
device63<->device43,6
device86<->device96,6
device55<->device51,6
device39<->device64,6
device41<->device45,6
device52<->device54,6
device37<->device43,6
device9<->device27,6
device81<->device96,6
device89<->device87,6
device53<->device44,6
device93<->device76,6
device76<->device72,6
device65<->device54,6
device76<->device95,6
device6<->device30,6
device18<->device10,6
device22<->device13,6
device7<->device4,6
device25<->device5,6
device45<->device50,6
device91<->device71,6
device20<->device0,6
device52<->device45,6
device28<->device21,6
device20<->device14,6
device68<->device77,6
device59<->device60,6
device7<->device10,6
device77<->device98,6
device29<->device1,5
device2<->device8,5
device53<->device49,5
device65<->device42,5
device23<->device24,5
device82<->device75,5
device55<->device53,5
device24<->device5,5
device13<->device5,5
device37<->device45,5
device67<->device95,5
device43<->device61,5
device83<->device73,5
device10<->device12,5
device53<->device60,5
device77<->device70,5
device39<->device48,5
device44<->device40,5
device94<->device84,5
device80<->device84,5
device96<->device69,5
device8<->device10,5
device83<->device89,5
device59<->device34,5
device27<->device12,5
device76<->device96,5
device0<->device29,5
device11<->device5,5
device85<->device71,5
device72<->device83,5
device14<->device22,5
device82<->device96,5
device43<->device52,5
device79<->device91,5
device19<->device4,5
device62<->device58,5
device7<->device5,5
device47<->device53,5
device10<->device6,5
device34<->device42,5
device48<->device49,5
device34<->device58,5
device28<->device3,5
device27<->device17,5
device88<->device98,5
device2<->device9,5
device63<->device47,5
device80<->device74,5
device16<->device6,5
device67<->device81,5
device7<->device21,5
device99<->device94,5
device68<->device83,5
device45<->device51,5
device63<->device62,5
device67<->device72,5
device15<->device4,5
device82<->device88,5
device58<->device61,5
device72<->device92,5
device29<->device10,5
device71<->device91,5
device35<->device64,5
device45<->device60,5
device97<->device96,5
device47<->device33,5
device30<->device10,5
device68<->device80,5
device60<->device48,5
device29<->device16,5
device82<->device90,5
device11<->device29,5
device72<->device78,5
device14<->device17,5
device35<->device42,5
device95<->device77,5
device20<->device11,5
device83<->device74,5
device28<->device4,5
device14<->device26,5
device31<->device27,5
device65<->device50,5
device31<->device13,5
device19<->device25,5
device4<->device20,5
device66<->device84,5
device59<->device33,5
device54<->device46,5
device48<->device65,5
device22<->device31,5
device25<->device28,5
device86<->device79,5
device14<->device16,5
device56<->device43,5
device62<->device36,5
device8<->device21,5
device41<->device38,5
device46<->device64,5
device10<->device30,5
device56<->device36,5
device14<->device8,5
device9<->device8,5
device52<->device43,5
device5<->device10,5
device64<->device34,5
device46<->device55,5
device0<->device1,5
device92<->device84,5
device84<->device75,5
device36<->device60,5
device75<->device84,5
device7<->device29,5
device61<->device33,5
device62<->device51,5
device69<->device75,5
device0<->device13,5
device11<->device31,5
device53<->device36,5
device39<->device33,5
device62<->device54,5
device18<->device8,5
device35<->device40,4
device13<->device28,4
device25<->device11,4
device95<->device92,4
device52<->device36,4
device39<->device61,4
device36<->device50,4
device61<->device42,4
device94<->device80,4
device13<->device23,4
device92<->device80,4
device19<->device17,4
device78<->device80,4
device74<->device87,4
device84<->device90,4
device18<->device2,4
device11<->device1,4
device2<->device20,4
device44<->device56,4
device29<->device24,4
device21<->device11,4
device99<->device72,4
device84<->device80,4
device34<->device45,4
device76<->device82,4
device24<->device2,4
device44<->device35,4
device56<->device61,4
device8<->device6,4
device7<->device3,4
device82<->device93,4
device37<->device62,4
device86<->device69,4
device34<->device46,4
device79<->device98,4
device22<->device2,4
device32<->device0,4
device10<->device27,4
device55<->device40,4
device33<->device44,4
device83<->device84,4
device37<->device46,4
device88<->device94,4
device94<->device92,4
device94<->device98,4
device42<->device62,4
device24<->device21,4
device53<->device54,4
device47<->device50,4
device76<->device74,4
device55<->device46,4
device69<->device86,4
device39<->device43,4
device80<->device76,4
device71<->device98,4
device75<->device98,4
device2<->device19,4
device35<->device58,4
device4<->device24,4
device51<->device55,4
device65<->device41,4
device27<->device32,4
device74<->device91,4
device75<->device78,4
device14<->device30,4
device90<->device98,4
device30<->device21,4
device66<->device80,4
device21<->device25,4
device40<->device45,4
device17<->device29,4
device45<->device41,4
device7<->device2,4
device74<->device71,4
device7<->device12,4
device94<->device73,4
device56<->device37,4
device24<->device22,4
device90<->device83,4
device26<->device27,4
device44<->device47,4
device95<->device75,4
device57<->device62,4
device53<->device56,4
device10<->device18,4
device87<->device86,4
device56<->device65,4
device17<->device19,4
device12<->device13,4
device26<->device8,4
device86<->device80,4
device52<->device34,4
device84<->device71,4
device52<->device51,4
device75<->device81,4
device57<->device63,4
device6<->device21,4
device37<->device51,4
device31<->device23,4
device26<->device2,4
device37<->device64,4
device35<->device57,4
device76<->device69,4
device12<->device1,4
device53<->device55,4
device13<->device0,4
device83<->device93,4
device63<->device45,4
device23<->device0,4
device88<->device86,4
device22<->device10,4
device64<->device50,4
device77<->device74,4
device39<->device45,4
device2<->device16,4
device9<->device22,4
device76<->device75,4
device50<->device37,4
device93<->device90,4
device38<->device64,4
device17<->device14,4
device74<->device70,4
device3<->device21,4
device29<->device27,4
device72<->device90,4
device86<->device72,4
device23<->device3,4
device2<->device6,4
device29<->device7,4
device73<->device88,4
device98<->device81,4
device70<->device95,4
