pair,contact_times
device38<->device44,21
device31<->device21,18
device28<->device21,17
device8<->device7,17
device45<->device46,17
device38<->device46,17
device33<->device30,17
device3<->device8,16
device43<->device37,16
device27<->device20,16
device29<->device31,16
device18<->device33,15
device12<->device6,15
device29<->device20,15
device39<->device40,15
device8<->device16,15
device35<->device42,15
device34<->device43,15
device34<->device49,14
device30<->device25,14
device40<->device38,14
device16<->device9,14
device37<->device41,14
device24<->device19,14
device46<->device48,14
device19<->device25,14
device14<->device4,14
device44<->device48,14
device1<->device0,14
device37<->device42,14
device23<->device31,14
device42<->device47,14
device47<->device35,14
device48<->device44,14
device0<->device15,13
device43<->device35,13
device40<->device41,13
device14<->device16,13
device1<->device16,13
device9<->device11,13
device27<->device26,13
device45<->device43,13
device19<->device24,13
device4<->device6,13
device45<->device37,13
device31<->device32,13
device22<->device29,13
device5<->device15,13
device35<->device47,13
device39<->device35,13
device46<->device36,13
device49<->device46,13
device38<->device47,13
device27<->device29,13
device22<->device28,13
device9<->device6,13
device23<->device25,13
device9<->device5,13
device26<->device28,13
device6<->device8,13
device8<->device10,13
device36<->device38,13
device33<->device17,13
device26<->device19,13
device47<->device43,13
device32<->device33,13
device8<->device3,13
device2<->device9,13
device43<->device47,12
device31<->device24,12
device38<->device45,12
device37<->device36,12
device46<->device34,12
device16<->device6,12
device20<->device30,12
device11<->device4,12
device46<->device43,12
device37<->device48,12
device35<->device44,12
device18<->device27,12
device33<->device19,12
device10<->device3,12
device1<->device2,12
device44<->device35,12
device2<->device8,12
device48<->device45,12
device48<->device39,12
device0<->device11,12
device4<->device16,12
device36<->device39,12
device7<->device16,12
device32<->device29,12
device14<->device13,12
device23<->device21,12
device11<->device10,12
device40<->device47,12
device22<->device20,12
device2<->device7,12
device20<->device29,12
device43<->device48,12
device49<->device39,12
device38<->device42,12
device21<->device22,12
device34<->device46,12
device26<->device27,12
device42<->device44,12
device38<->device43,12
device8<->device9,12
device10<->device16,12
device29<->device24,12
device4<->device10,12
device43<->device36,12
device42<->device48,12
device22<->device27,12
device10<->device7,12
device30<->device33,11
device1<->device7,11
device21<->device32,11
device21<->device19,11
device37<->device46,11
device9<->device10,11
device14<->device9,11
device16<->device10,11
device32<->device19,11
device46<->device44,11
device1<->device3,11
device45<->device49,11
device45<->device36,11
device42<->device34,11
device47<->device48,11
device21<->device20,11
device46<->device45,11
device49<->device44,11
device2<->device1,11
device8<->device0,11
device5<->device12,11
device7<->device9,11
device39<->device37,11
device44<->device36,11
device40<->device45,11
device30<->device28,11
device12<->device16,11
device8<->device5,11
device48<->device38,11
device3<->device10,11
device29<->device27,11
device13<->device1,11
device27<->device24,11
device5<->device11,11
